排名,影片名称,影片国家,影片主分类,影片时长,上映日期,总票房(万),总场次,总人次(万),首日票房(万),首周票房(万),首周末票房(万),点映票房(万),平均票价,场均人次,上映天数,猫眼想看人数,猫眼评分,淘票票想看人数,淘票票评分,豆瓣想看人数,豆瓣评分,网页相关新闻数,微信公众号新闻数
1,长津湖,中国,剧情,176min,2021-09-30,5775462066.0,5723100,124510652,205191305.41,1527660555.02,1322469249.61,781533.38,46,22,196.0,1012616.0,9.5,1042773.0,,,7.4,4867.0,1978715.0
2,战狼2,中国,动作,123min,2017-07-27,5688740587.0,4273016,159827209,102076959.51,996565884.15,894488924.64,350911.8,36,37,1722.0,411940.0,9.7,865905.0,9.5,96008.0,7.1,6488.0,100043.0
3,你好，李焕英,中国,喜剧,128min,2021-02-12,5413299787.0,4966329,120936204,291393737.72,1049521568.74,1049521568.74,72733.0,45,24,426.0,1162302.0,9.5,955109.0,9.3,125649.0,8.1,2880.0,1882758.0
4,哪吒之魔童降世,中国,动画,110min,2019-07-26,5035020628.0,5984623,139580113,144498500.0,665169800.0,665169800.0,62237136.98,36,23,993.0,172113.0,9.6,5782.0,9.5,179399.0,8.4,6802.0,2483486.0
5,流浪地球,中国,科幻,125min,2019-02-05,4686822999.0,3598712,104630392,190752045.44,2018592382.71,1224554513.29,14011306.26,45,29,1164.0,249887.0,9.2,1210000.0,9.1,513530.0,7.9,4555.0,202192.0
6,唐人街探案3,中国,喜剧,136min,2021-02-12,4522346007.0,3234906,95005847,1010739018.04,2578720294.57,2578720294.57,7476705.83,48,29,426.0,4468547.0,8.8,8140647.0,9.0,208085.0,5.3,7682.0,2454999.0
7,复仇者联盟4：终局之战,美国,动作,181min,2019-04-24,4250383910.0,3759287,86134006,537741506.64,2042421871.05,1187049258.25,190390504.5,49,23,1086.0,1850000.0,9.0,1391000.0,9.0,180977.0,8.5,3449.0,572566.0
8,长津湖之水门桥,中国,战争,149min,2022-02-01,4056538758.0,4076403,82140800,641449090.65,2535396671.88,981784928.14,3600.0,49,20,72.0,1155811.0,9.6,1197868.0,,27540.0,7.2,1481.0,861023.0
9,红海行动,中国香港/中国,动作,138min,2018-02-16,3651886398.0,2837491,92970471,129509878.31,464989911.72,464989911.72,20986.7,39,33,1518.0,162042.0,9.4,533886.0,9.3,120312.0,8.3,4273.0,66253.0
10,唐人街探案2,中国,喜剧,120min,2018-02-16,3397688097.0,2275267,87665654,340761532.48,990449456.54,990449456.54,34555.0,39,39,1518.0,463427.0,9.2,905270.0,8.9,61053.0,6.6,6865.0,7651.0
11,美人鱼,中国香港/中国,喜剧,93min,2016-02-08,3397175023.0,2140418,92642619,272330991.55,1818019746.17,802570021.68,4903279.05,37,43,2257.0,613749.0,9.0,,,40747.0,6.7,7576.0,144785.0
12,我和我的祖国,中国香港/中国,剧情,155min,2019-09-30,3176156807.0,2388636,83175481,290415727.56,2088087180.79,734961777.48,12637761.23,38,35,927.0,578308.0,9.7,1042.0,9.4,122990.0,7.6,6591.0,48620.0
13,八佰,中国,战争,147min,2020-08-21,3102323734.0,4092163,80919908,140902260.32,577427167.96,577427167.96,233131141.39,38,20,601.0,518898.0,9.2,,,147829.0,7.5,3643.0,352786.0
14,我不是药神,中国,剧情,96min,2018-07-05,3099961063.0,3357586,89042524,159726446.41,1172698253.71,1012971807.3,163810448.2,35,27,1379.0,164738.0,9.6,437473.0,9.4,879653.0,9.0,2841.0,1050714.0
15,中国机长,中国,剧情,111min,2019-09-30,2913281787.0,3005526,77811523,209358688.51,1766121220.37,739066792.37,56959019.78,37,26,927.0,561040.0,9.4,7174.0,9.3,77870.0,6.6,4865.0,2164714.0
16,我和我的家乡,中国,剧情,,2020-10-01,2828832552.0,3934295,72990974,275119560.76,1080558764.12,805439203.36,351835.0,39,19,560.0,442858.0,9.2,,9.2,93112.0,7.0,3366.0,536014.0
17,速度与激情8,美国,动作,136min,2017-04-14,2670959285.0,2424981,72879248,417093660.72,1289364845.77,1289364845.77,62708763.43,37,30,1826.0,313365.0,9.3,690546.0,9.2,43245.0,7.0,1671.0,5516.0
18,这个杀手不太冷静,中国,喜剧,109min,2022-02-01,2621751313.0,3634555,54337670,214388576.55,1391097650.34,712287084.68,78924.0,48,15,72.0,555706.0,9.1,253188.0,,38372.0,6.4,1133.0,1095541.0
19,西虹市首富,中国,喜剧,118min,2018-07-27,2547571742.0,2594818,72657663,227136068.52,903494241.69,903494241.69,363078.0,35,28,1357.0,339761.0,9.2,2569251.0,9.0,425087.0,6.6,2705.0,4557.0
20,捉妖记,中国香港/中国,奇幻,118min,2015-07-16,2441462276.0,1585277,65689807,162774970.55,664776293.25,502001322.7,11284788.9,37,41,2464.0,204826.0,9.1,,,21593.0,6.7,8129.0,26125.0
21,速度与激情7,美国/日本,动作,138min,2015-04-12,2426586547.0,1479846,62446535,346351045.52,346351045.52,346351045.52,52470158.97,39,42,2559.0,244929.0,9.5,,,54616.0,8.4,2948.0,17281.0
22,复仇者联盟3：无限战争,美国,动作,150min,2018-05-11,2390537273.0,3232988,62508215,387265541.04,1212733200.2,1212733200.2,59524134.15,38,19,1434.0,1146071.0,8.9,1024853.0,8.8,245556.0,8.1,6439.0,4009.0
23,捉妖记2,中国香港/中国,喜剧,111min,2018-02-16,2237154621.0,1322843,58389282,546851800.66,1204445922.67,1204445922.67,355.0,38,44,1518.0,668983.0,8.1,876678.0,7.8,34951.0,5.1,3892.0,2526.0
24,疯狂的外星人,中国,喜剧,116min,2019-02-05,2214254201.0,1750930,52519962,410262693.52,1462049462.73,524385215.39,28712.0,42,30,1164.0,460000.0,8.5,1105000.0,8.3,553300.0,6.4,1118.0,7959.0
25,羞羞的铁拳,中国,喜剧,100min,2017-09-30,2201748735.0,2605630,65872348,132942563.13,309896340.93,309896340.93,476065.0,33,25,1657.0,284299.0,9.1,291337.0,9.0,37235.0,6.8,6115.0,8301.0
26,海王,美国,动作,143min,2018-12-07,2013198359.0,3153865,55364908,156816433.56,643153980.07,643153980.07,8999388.91,36,18,1224.0,251000.0,9.4,489000.0,9.1,384351.0,7.6,2449.0,1883436.0
27,变形金刚4：绝迹重生,美国/中国,科幻,166min,2014-06-27,1977522538.0,957299,47417723,174684551.83,610916511.91,610916511.91,21240493.21,42,50,2848.0,,,,,,,56.0,
28,前任3：再见前任,中国,喜剧,120min,2017-12-29,1941740154.0,1938298,55382104,64466739.29,281426639.84,281426639.84,13639245.63,35,29,1567.0,250058.0,9.2,512647.0,8.7,53302.0,5.6,2594.0,4835.0
29,毒液：致命守护者,美国,动作,107min,2018-11-09,1870680440.0,3119034,52679663,223382301.3,750898254.79,750898254.79,17720694.36,36,17,1252.0,394000.0,9.3,876000.0,9.0,623217.0,7.2,1972.0,399933.0
30,功夫瑜伽,中国/印度,喜剧,108min,2017-01-28,1752603744.0,1377360,45907825,138454790.1,269326017.99,269326017.99,3390421.42,38,33,1902.0,87299.0,8.4,163025.0,8.6,14480.0,5.2,3803.0,34464.0
31,飞驰人生,中国,喜剧,98min,2019-02-05,1729373180.0,1648195,41296764,321973160.52,1054008317.65,374747245.2,87652.0,42,25,1164.0,382000.0,8.8,1081000.0,8.6,325494.0,6.9,2588.0,2065789.0
32,烈火英雄,中国,灾难,120,2019-08-01,1707188998.0,2461780,47636224,122298400.0,516169700.0,393871300.0,55683800.0,36,19,987.0,164000.0,9.4,,9.2,46959.0,6.4,1747.0,165262.0
33,侏罗纪世界2,美国,动作,128min,2018-06-15,1695881571.0,2485907,47507643,202444834.17,720714542.29,720714542.29,13653252.51,36,19,1399.0,621367.0,8.6,576855.0,8.4,51836.0,6.7,2288.0,677041.0
34,寻龙诀,中国香港/中国,动作,125min,2015-12-18,1682742951.0,1156163,46478812,161601555.56,592048809.21,592048809.21,9418860.83,36,40,2309.0,559237.0,9.1,,,24739.0,7.4,13331.0,60108.0
35,西游伏妖篇,中国香港/中国,奇幻,108min,2017-01-28,1655926405.0,1172884,42294681,355610433.67,578357949.83,578357949.83,11875809.52,39,36,1902.0,206528.0,7.8,265257.0,7.9,24683.0,5.5,4130.0,13437.0
36,港囧,中国,喜剧,114min,2015-09-25,1614103585.0,1223972,49128036,199320971.01,672958290.71,672958290.71,11809646.2,33,40,2393.0,577500.0,8.4,,,11795.0,6.1,5245.0,16902.0
37,姜子牙,中国,动画,110min,2020-10-01,1602983421.0,2096399,40288726,361679051.53,1036706399.81,675027348.28,1336342.06,40,19,560.0,1425171.0,8.3,,7.8,125135.0,6.6,4703.0,857012.0
38,少年的你,中国,剧情,135min,2019-10-25,1559025893.0,2730096,43016831,149883963.33,588648843.16,588648843.16,0.0,36,16,902.0,1056702.0,9.4,,9.3,194331.0,8.2,6169.0,3138735.0
39,变形金刚5：最后的骑士,美国,动作,150min,2017-06-23,1551242789.0,1842587,41996183,289598567.41,829571659.22,829571659.22,42317462.66,37,23,1756.0,532878.0,7.4,617679.0,7.6,34062.0,4.9,4895.0,18946.0
40,疯狂动物城,美国,动画,108min,2016-03-04,1534528494.0,1629199,45698755,22454228.18,155323654.41,155323654.41,163635.9,34,28,2232.0,72537.0,9.5,,,145139.0,9.2,3007.0,42977.0
41,我和我的父辈,中国,剧情,156min,2021-09-30,1476878651.0,2119495,33977292,65177850.03,562770757.76,497592907.73,25838429.64,43,16,196.0,301354.0,9.5,370009.0,,13888.0,6.9,750.0,187702.0
42,魔兽,美国,动作,124min,2016-06-08,1472297906.0,1590170,39718286,251612714.13,980405121.55,428709782.57,50137561.29,37,25,2136.0,467099.0,9.0,,,26536.0,7.9,10430.0,39134.0
43,复仇者联盟2：奥创纪元,美国,科幻,141min,2015-05-12,1464392888.0,1283126,36599504,185864249.65,936918059.79,534374383.99,29741253.55,40,29,2529.0,311650.0,8.3,,,32640.0,7.1,8288.0,19236.0
44,夏洛特烦恼,中国,喜剧,104min,2015-09-30,1447823756.0,1356133,45023733,23266156.04,258171974.5,194080109.37,11258670.17,32,33,2388.0,80510.0,9.3,,,26862.0,7.7,4634.0,78980.0
